trial_id,cluster_pair,cluster_a,cluster_b,anchor_cluster,distractor_cluster,repeat_idx,primary_key,image_A_cluster,image_A_source_index,image_A_role,image_A_center_cells_path,image_A_gen_imgs_path,image_B_cluster,image_B_source_index,image_B_role,image_B_center_cells_path,image_B_gen_imgs_path,image_C_cluster,image_C_source_index,image_C_role,correct_answer,correct_cluster,image_C_center_cells_path,image_C_gen_imgs_path
1,0_1,0,1,1,0,0,center_cells,1,6,same_1,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0001_A_center_cells.png,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0001_A_gen_imgs.png,1,0,same_2,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0001_B_center_cells.png,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0001_B_gen_imgs.png,0,4,distractor,C,0,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0001_C_center_cells.png,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0001_C_gen_imgs.png
2,0_2,0,2,0,2,0,center_cells,0,7,same_2,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0002_A_center_cells.png,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0002_A_gen_imgs.png,0,4,same_1,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0002_B_center_cells.png,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0002_B_gen_imgs.png,2,5,distractor,C,2,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0002_C_center_cells.png,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0002_C_gen_imgs.png
3,0_3,0,3,3,0,0,center_cells,3,4,same_1,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0003_A_center_cells.png,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0003_A_gen_imgs.png,3,2,same_2,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0003_B_center_cells.png,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0003_B_gen_imgs.png,0,1,distractor,C,0,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0003_C_center_cells.png,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0003_C_gen_imgs.png
4,0_4,0,4,4,0,0,center_cells,4,2,same_2,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0004_A_center_cells.png,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0004_A_gen_imgs.png,0,4,distractor,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0004_B_center_cells.png,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0004_B_gen_imgs.png,4,8,same_1,B,0,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0004_C_center_cells.png,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0004_C_gen_imgs.png
5,0_5,0,5,5,0,0,center_cells,0,8,distractor,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0005_A_center_cells.png,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0005_A_gen_imgs.png,5,7,same_2,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0005_B_center_cells.png,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0005_B_gen_imgs.png,5,5,same_1,A,0,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0005_C_center_cells.png,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0005_C_gen_imgs.png
6,0_6,0,6,0,6,0,center_cells,0,9,same_1,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0006_A_center_cells.png,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0006_A_gen_imgs.png,6,8,distractor,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0006_B_center_cells.png,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0006_B_gen_imgs.png,0,3,same_2,B,6,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0006_C_center_cells.png,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0006_C_gen_imgs.png
7,0_7,0,7,7,0,0,center_cells,7,0,same_2,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0007_A_center_cells.png,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0007_A_gen_imgs.png,0,8,distractor,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0007_B_center_cells.png,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0007_B_gen_imgs.png,7,4,same_1,B,0,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0007_C_center_cells.png,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0007_C_gen_imgs.png
8,0_8,0,8,8,0,0,center_cells,8,6,same_1,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0008_A_center_cells.png,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0008_A_gen_imgs.png,0,9,distractor,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0008_B_center_cells.png,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0008_B_gen_imgs.png,8,0,same_2,B,0,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0008_C_center_cells.png,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0008_C_gen_imgs.png
9,0_9,0,9,0,9,0,center_cells,0,1,same_2,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0009_A_center_cells.png,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0009_A_gen_imgs.png,0,5,same_1,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0009_B_center_cells.png,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0009_B_gen_imgs.png,9,3,distractor,C,9,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0009_C_center_cells.png,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0009_C_gen_imgs.png
10,0_10,0,10,0,10,0,center_cells,0,8,same_2,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0010_A_center_cells.png,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0010_A_gen_imgs.png,10,7,distractor,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0010_B_center_cells.png,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0010_B_gen_imgs.png,0,2,same_1,B,10,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0010_C_center_cells.png,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0010_C_gen_imgs.png
