trial_id,cluster_pair,cluster_a,cluster_b,anchor_cluster,distractor_cluster,repeat_idx,primary_key,image_A_cluster,image_A_source_index,image_A_role,image_A_center_cells_path,image_A_gen_imgs_path,image_B_cluster,image_B_source_index,image_B_role,image_B_center_cells_path,image_B_gen_imgs_path,image_C_cluster,image_C_source_index,image_C_role,correct_answer,correct_cluster,image_C_center_cells_path,image_C_gen_imgs_path
23,1_2,1,2,2,1,0,center_cells,2,0,same_2,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0023_A_center_cells.png,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0023_A_gen_imgs.png,1,9,distractor,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0023_B_center_cells.png,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0023_B_gen_imgs.png,2,1,same_1,B,1,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0023_C_center_cells.png,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0023_C_gen_imgs.png
24,1_3,1,3,3,1,0,center_cells,3,1,same_2,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0024_A_center_cells.png,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0024_A_gen_imgs.png,1,7,distractor,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0024_B_center_cells.png,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0024_B_gen_imgs.png,3,2,same_1,B,1,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0024_C_center_cells.png,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0024_C_gen_imgs.png
25,1_4,1,4,4,1,0,center_cells,4,8,same_2,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0025_A_center_cells.png,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0025_A_gen_imgs.png,4,0,same_1,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0025_B_center_cells.png,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0025_B_gen_imgs.png,1,6,distractor,C,1,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0025_C_center_cells.png,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0025_C_gen_imgs.png
26,1_5,1,5,5,1,0,center_cells,5,1,same_1,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0026_A_center_cells.png,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0026_A_gen_imgs.png,5,3,same_2,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0026_B_center_cells.png,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0026_B_gen_imgs.png,1,1,distractor,C,1,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0026_C_center_cells.png,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0026_C_gen_imgs.png
27,1_6,1,6,1,6,0,center_cells,6,8,distractor,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0027_A_center_cells.png,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0027_A_gen_imgs.png,1,2,same_1,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0027_B_center_cells.png,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0027_B_gen_imgs.png,1,0,same_2,A,6,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0027_C_center_cells.png,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0027_C_gen_imgs.png
28,1_7,1,7,7,1,0,center_cells,7,6,same_1,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0028_A_center_cells.png,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0028_A_gen_imgs.png,1,4,distractor,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0028_B_center_cells.png,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0028_B_gen_imgs.png,7,3,same_2,B,1,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0028_C_center_cells.png,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0028_C_gen_imgs.png
29,1_8,1,8,8,1,0,center_cells,8,2,same_2,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0029_A_center_cells.png,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0029_A_gen_imgs.png,1,3,distractor,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0029_B_center_cells.png,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0029_B_gen_imgs.png,8,9,same_1,B,1,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0029_C_center_cells.png,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0029_C_gen_imgs.png
30,1_9,1,9,9,1,0,center_cells,1,4,distractor,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0030_A_center_cells.png,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0030_A_gen_imgs.png,9,8,same_2,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0030_B_center_cells.png,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0030_B_gen_imgs.png,9,5,same_1,A,1,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0030_C_center_cells.png,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0030_C_gen_imgs.png
31,1_10,1,10,10,1,0,center_cells,10,0,same_1,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0031_A_center_cells.png,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0031_A_gen_imgs.png,10,7,same_2,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0031_B_center_cells.png,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0031_B_gen_imgs.png,1,6,distractor,C,1,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0031_C_center_cells.png,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0031_C_gen_imgs.png
32,1_11,1,11,11,1,0,center_cells,11,4,same_2,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0032_A_center_cells.png,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0032_A_gen_imgs.png,11,6,same_1,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0032_B_center_cells.png,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0032_B_gen_imgs.png,1,2,distractor,C,1,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0032_C_center_cells.png,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0032_C_gen_imgs.png
33,1_12,1,12,1,12,0,center_cells,1,1,same_1,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0033_A_center_cells.png,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0033_A_gen_imgs.png,1,5,same_2,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0033_B_center_cells.png,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0033_B_gen_imgs.png,12,0,distractor,C,12,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0033_C_center_cells.png,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0033_C_gen_imgs.png
34,1_13,1,13,1,13,0,center_cells,1,7,same_1,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0034_A_center_cells.png,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0034_A_gen_imgs.png,13,9,distractor,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0034_B_center_cells.png,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0034_B_gen_imgs.png,1,5,same_2,B,13,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0034_C_center_cells.png,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0034_C_gen_imgs.png
35,1_14,1,14,14,1,0,center_cells,14,9,same_1,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0035_A_center_cells.png,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0035_A_gen_imgs.png,1,4,distractor,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0035_B_center_cells.png,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0035_B_gen_imgs.png,14,2,same_2,B,1,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0035_C_center_cells.png,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0035_C_gen_imgs.png
36,1_15,1,15,15,1,0,center_cells,1,9,distractor,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0036_A_center_cells.png,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0036_A_gen_imgs.png,15,0,same_2,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0036_B_center_cells.png,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0036_B_gen_imgs.png,15,1,same_1,A,1,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0036_C_center_cells.png,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0036_C_gen_imgs.png
37,1_16,1,16,1,16,0,center_cells,1,3,same_1,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0037_A_center_cells.png,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0037_A_gen_imgs.png,1,7,same_2,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0037_B_center_cells.png,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0037_B_gen_imgs.png,16,6,distractor,C,16,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0037_C_center_cells.png,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0037_C_gen_imgs.png
38,1_17,1,17,1,17,0,center_cells,17,0,distractor,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0038_A_center_cells.png,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0038_A_gen_imgs.png,1,6,same_2,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0038_B_center_cells.png,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0038_B_gen_imgs.png,1,9,same_1,A,17,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0038_C_center_cells.png,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0038_C_gen_imgs.png
39,1_18,1,18,1,18,0,center_cells,18,8,distractor,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0039_A_center_cells.png,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0039_A_gen_imgs.png,1,2,same_1,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0039_B_center_cells.png,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0039_B_gen_imgs.png,1,7,same_2,A,18,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0039_C_center_cells.png,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0039_C_gen_imgs.png
40,1_19,1,19,19,1,0,center_cells,1,4,distractor,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0040_A_center_cells.png,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0040_A_gen_imgs.png,19,7,same_1,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0040_B_center_cells.png,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0040_B_gen_imgs.png,19,5,same_2,A,1,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0040_C_center_cells.png,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0040_C_gen_imgs.png
41,1_20,1,20,20,1,0,center_cells,20,3,same_2,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0041_A_center_cells.png,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0041_A_gen_imgs.png,20,6,same_1,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0041_B_center_cells.png,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0041_B_gen_imgs.png,1,8,distractor,C,1,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0041_C_center_cells.png,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0041_C_gen_imgs.png
42,1_21,1,21,21,1,0,center_cells,21,2,same_1,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0042_A_center_cells.png,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0042_A_gen_imgs.png,21,0,same_2,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0042_B_center_cells.png,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0042_B_gen_imgs.png,1,6,distractor,C,1,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0042_C_center_cells.png,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0042_C_gen_imgs.png
43,1_22,1,22,1,22,0,center_cells,1,0,same_2,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0043_A_center_cells.png,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0043_A_gen_imgs.png,1,3,same_1,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0043_B_center_cells.png,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0043_B_gen_imgs.png,22,0,distractor,C,22,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0043_C_center_cells.png,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0043_C_gen_imgs.png
44,2_3,2,3,2,3,0,center_cells,3,4,distractor,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0044_A_center_cells.png,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0044_A_gen_imgs.png,2,9,same_1,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0044_B_center_cells.png,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0044_B_gen_imgs.png,2,3,same_2,A,3,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0044_C_center_cells.png,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0044_C_gen_imgs.png
45,2_4,2,4,2,4,0,center_cells,2,6,same_1,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0045_A_center_cells.png,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0045_A_gen_imgs.png,4,0,distractor,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0045_B_center_cells.png,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0045_B_gen_imgs.png,2,1,same_2,B,4,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0045_C_center_cells.png,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0045_C_gen_imgs.png
46,2_5,2,5,5,2,0,center_cells,5,1,same_1,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0046_A_center_cells.png,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0046_A_gen_imgs.png,5,4,same_2,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0046_B_center_cells.png,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0046_B_gen_imgs.png,2,2,distractor,C,2,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0046_C_center_cells.png,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0046_C_gen_imgs.png
47,2_6,2,6,2,6,0,center_cells,2,4,same_2,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0047_A_center_cells.png,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0047_A_gen_imgs.png,6,0,distractor,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0047_B_center_cells.png,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0047_B_gen_imgs.png,2,2,same_1,B,6,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0047_C_center_cells.png,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0047_C_gen_imgs.png
48,2_7,2,7,2,7,0,center_cells,7,5,distractor,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0048_A_center_cells.png,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0048_A_gen_imgs.png,2,4,same_1,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0048_B_center_cells.png,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0048_B_gen_imgs.png,2,8,same_2,A,7,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0048_C_center_cells.png,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0048_C_gen_imgs.png
49,2_8,2,8,8,2,0,center_cells,8,9,same_1,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0049_A_center_cells.png,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0049_A_gen_imgs.png,8,7,same_2,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0049_B_center_cells.png,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0049_B_gen_imgs.png,2,7,distractor,C,2,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0049_C_center_cells.png,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0049_C_gen_imgs.png
50,2_9,2,9,2,9,0,center_cells,2,8,same_1,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0050_A_center_cells.png,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0050_A_gen_imgs.png,9,3,distractor,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0050_B_center_cells.png,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0050_B_gen_imgs.png,2,2,same_2,B,9,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0050_C_center_cells.png,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0050_C_gen_imgs.png
51,2_10,2,10,2,10,0,center_cells,2,2,same_1,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0051_A_center_cells.png,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0051_A_gen_imgs.png,10,5,distractor,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0051_B_center_cells.png,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0051_B_gen_imgs.png,2,4,same_2,B,10,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0051_C_center_cells.png,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0051_C_gen_imgs.png
52,2_11,2,11,11,2,0,center_cells,2,0,distractor,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0052_A_center_cells.png,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0052_A_gen_imgs.png,11,5,same_1,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0052_B_center_cells.png,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0052_B_gen_imgs.png,11,0,same_2,A,2,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0052_C_center_cells.png,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0052_C_gen_imgs.png
53,2_12,2,12,2,12,0,center_cells,12,5,distractor,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0053_A_center_cells.png,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0053_A_gen_imgs.png,2,9,same_1,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0053_B_center_cells.png,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0053_B_gen_imgs.png,2,4,same_2,A,12,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0053_C_center_cells.png,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0053_C_gen_imgs.png
54,2_13,2,13,2,13,0,center_cells,13,0,distractor,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0054_A_center_cells.png,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0054_A_gen_imgs.png,2,7,same_1,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0054_B_center_cells.png,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0054_B_gen_imgs.png,2,3,same_2,A,13,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0054_C_center_cells.png,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0054_C_gen_imgs.png
55,2_14,2,14,14,2,0,center_cells,14,1,same_1,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0055_A_center_cells.png,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0055_A_gen_imgs.png,2,6,distractor,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0055_B_center_cells.png,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0055_B_gen_imgs.png,14,4,same_2,B,2,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0055_C_center_cells.png,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0055_C_gen_imgs.png
56,2_15,2,15,2,15,0,center_cells,2,1,same_1,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0056_A_center_cells.png,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0056_A_gen_imgs.png,15,7,distractor,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0056_B_center_cells.png,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0056_B_gen_imgs.png,2,8,same_2,B,15,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0056_C_center_cells.png,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0056_C_gen_imgs.png
57,2_16,2,16,16,2,0,center_cells,2,7,distractor,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0057_A_center_cells.png,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0057_A_gen_imgs.png,16,1,same_2,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0057_B_center_cells.png,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0057_B_gen_imgs.png,16,5,same_1,A,2,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0057_C_center_cells.png,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0057_C_gen_imgs.png
58,2_17,2,17,2,17,0,center_cells,17,2,distractor,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0058_A_center_cells.png,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0058_A_gen_imgs.png,2,5,same_2,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0058_B_center_cells.png,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0058_B_gen_imgs.png,2,4,same_1,A,17,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0058_C_center_cells.png,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0058_C_gen_imgs.png
59,2_18,2,18,18,2,0,center_cells,18,9,same_2,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0059_A_center_cells.png,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0059_A_gen_imgs.png,2,1,distractor,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0059_B_center_cells.png,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0059_B_gen_imgs.png,18,1,same_1,B,2,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0059_C_center_cells.png,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0059_C_gen_imgs.png
60,2_19,2,19,2,19,0,center_cells,2,0,same_1,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0060_A_center_cells.png,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0060_A_gen_imgs.png,2,1,same_2,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0060_B_center_cells.png,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0060_B_gen_imgs.png,19,6,distractor,C,19,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0060_C_center_cells.png,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0060_C_gen_imgs.png
61,2_20,2,20,2,20,0,center_cells,20,6,distractor,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0061_A_center_cells.png,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0061_A_gen_imgs.png,2,3,same_2,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0061_B_center_cells.png,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0061_B_gen_imgs.png,2,7,same_1,A,20,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0061_C_center_cells.png,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0061_C_gen_imgs.png
62,2_21,2,21,2,21,0,center_cells,21,6,distractor,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0062_A_center_cells.png,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0062_A_gen_imgs.png,2,2,same_2,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0062_B_center_cells.png,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0062_B_gen_imgs.png,2,4,same_1,A,21,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0062_C_center_cells.png,/gpfs/radev/home/rj265/project/cluster_odd_one_out_survey/images/trial_0062_C_gen_imgs.png
